Date,Open,High,Low,Close,AdjClose,Volume
03-10-2018,1015.224976,1026.099976,1003.5,1015.575012,1002.720825,7666074.0
04-10-2018,1004.0,1008.900024,971.5,978.875,966.485291,8985292.0
05-10-2018,976.974976,995.0,970.075012,982.650024,970.212463,7864590.0
08-10-2018,982.5,984.5,965.0,972.5,960.190979,10064010.0
09-10-2018,972.200012,982.5,965.0,970.299988,958.018799,6229682.0
10-10-2018,972.5,991.125,967.75,983.575012,971.125793,7969966.0
11-10-2018,962.5,974.150024,958.799988,968.775024,956.513123,7179952.0
12-10-2018,972.5,998.549988,971.0,990.924988,978.382751,4800160.0
15-10-2018,995.0,1005.400024,985.150024,1004.025024,991.316956,6292984.0
16-10-2018,1001.5,1009.099976,993.75,996.375,983.763733,4703002.0
17-10-2018,1003.049988,1006.5,981.75,987.299988,974.80365,3970398.0
19-10-2018,979.450012,990.424988,979.0,983.875,971.421997,4933674.0
22-10-2018,1007.0,1010.0,994.299988,999.450012,986.799866,10165580.0
23-10-2018,986.5,999.450012,986.5,992.424988,979.863708,9714282.0
24-10-2018,1002.0,1004.400024,986.299988,996.125,983.516907,9036168.0
25-10-2018,986.799988,1001.799988,981.224976,984.400024,971.940369,14923528.0
26-10-2018,984.400024,988.599976,974.5,980.599976,968.188416,7577856.0
29-10-2018,982.049988,982.474976,947.599976,963.150024,950.959351,8522140.0
30-10-2018,962.5,966.0,949.650024,956.375,944.270081,6914352.0
31-10-2018,951.025024,958.950012,942.5,955.875,943.776367,11724702.0
01-11-2018,965.0,965.0,948.0,956.099976,943.998535,9814526.0
02-11-2018,963.0,980.0,956.0,974.724976,962.387817,15046434.0
05-11-2018,974.950012,979.825012,969.0,978.0,965.621399,2852648.0
06-11-2018,977.5,988.0,971.474976,973.275024,960.956177,4242794.0
07-11-2018,980.5,982.474976,975.0,978.974976,966.584045,479380.0
09-11-2018,979.099976,979.950012,968.150024,972.700012,960.388489,5050810.0
12-11-2018,975.75,981.0,958.575012,960.525024,948.367615,3953882.0
13-11-2018,959.5,968.849976,954.099976,963.875,951.675171,6675210.0
14-11-2018,969.275024,980.0,968.299988,978.875,966.485291,13055318.0
15-11-2018,980.950012,988.650024,965.599976,987.575012,975.075195,5196262.0
16-11-2018,990.5,1006.5,990.0,1002.150024,989.465759,7906608.0
19-11-2018,1005.5,1010.5,1000.950012,1006.950012,994.204956,6143214.0
20-11-2018,1006.5,1009.799988,999.525024,1006.224976,993.489075,2852584.0
21-11-2018,1006.375,1011.974976,1002.0,1009.375,996.599243,3272802.0
22-11-2018,1006.625,1017.5,1000.075012,1002.75,990.058044,6487276.0
26-11-2018,1006.950012,1026.0,1006.025024,1024.900024,1011.927734,9092218.0
27-11-2018,1020.525024,1033.949951,1020.375,1032.0,1018.937866,6447720.0
28-11-2018,1032.5,1049.300049,1030.050049,1044.625,1031.403076,6510554.0
29-11-2018,1050.5,1068.699951,1047.0,1065.525024,1052.038696,15954318.0
